variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,0.0,407,0,0,0,110.62407862407862,98.0,0.7791512608896142,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.14480900000000071,-50.0,0.1413716694115407,0.0,0.0,0.0
baseline,0.000503,407,0,0,0,110.62407862407862,98.0,0.7771593948570963,0.03954921186562913,0.055779814607533576,0.018727164904176898,15441555.0,33.809639450450454,8.212251234237192,0.24430873276340204,4596.9512,120.0,0.8000175002702695,0.0,0.32969450000000095,-38.770583447174445,0.10962124211972994,-6276.254270591639,991.3949651708972,0.0009684581650833893
baseline,0.000603,407,0,0,0,110.62407862407862,98.0,0.777160085509508,0.04087242084956522,0.05764525315104275,0.03634249446928753,31025182.0,30.36485743570845,14.106864851622726,0.4555815075406888,4366.4092,120.0,0.8000212185503678,0.0,0.35800150000000025,-39.24326180589682,0.11095770869307572,-8712.1985342056,1394.3008492293095,0.0012338508760624852
baseline,0.000704,407,0,0,0,110.62407862407862,98.0,0.7771609587981131,0.04239684446597016,0.059766870686537736,0.03340698607149877,31324546.0,27.13718621466011,20.332982086360737,0.7514133164976913,3929.5303,120.00000931203932,0.8000246966339075,6.879520297297297e-09,0.3822062000000015,-40.06185145945945,0.113272216410819,-10951.344648031687,1806.0611146691344,0.0015540046132246858
baseline,0.000804,407,0,0,0,110.62407862407862,98.0,0.7771619632281928,0.04368764752529975,0.06153587449772523,0.029612421454545443,31462646.0,23.676110436019652,25.273609649853185,1.2553570818045807,3431.8013,120.00051120393114,0.8000277696805906,3.7867835953316947e-07,0.37390974999999804,-39.7887675773956,0.112500089924884,-12936.142969836827,2268.139905535337,0.0019104399629695367
baseline,0.000905,407,0,0,0,110.62407862407862,98.0,0.7771631415422348,0.04445636104160292,0.06253606891496402,0.02530756792914006,30587304.0,20.579827736732184,29.423115707309368,2.683000754846703,3127.6155,120.00111304668312,0.8000303106388226,8.245731459164622e-07,0.37390974999999804,-39.35688504422602,0.11127897083080661,-14632.395573256686,2821.693656550907,0.0022572016186452573
baseline,0.001005,407,96,4,92,110.62407862407862,98.0,0.7771643581583978,0.04489382712919831,0.06302048374052048,0.020713831143882075,28763496.0,18.49317846338411,32.876965405052474,-1.6108408423987313,3888.0342,120.00135990171987,0.8000307715479129,1.0080403203464376e-06,0.37390974999999804,-39.45712542751844,0.11156239383737666,-16020.743816638296,3489.4607794851318,0.002581265388660145
baseline,0.001106,407,148,0,148,110.62407862407862,98.0,0.777165504640985,0.04535842847047889,0.0634837041547169,0.01601601644503686,27476366.0,17.21556484990172,35.201352545182175,-125.11529434234822,2969.8398,120.00145314496284,0.8000299259213758,1.0768399835135134e-06,0.27635586499999937,-39.57624443857496,0.1118991949064109,-17094.214736621852,4288.335582986277,0.002879955998957503
baseline,0.001206,407,156,0,156,110.62407862407862,98.0,0.7771666436034096,0.04600704316268179,0.06417693731652398,0.011424908092481567,30708820.0,16.6157048307453,37.52346485227821,-0.8130280057701518,3082.7974,120.0015038574939,0.8000286395823102,1.114349460982801e-06,0.27635586499999937,-40.31043524791155,0.11397507051406137,-17859.963443044235,5218.433548689064,0.003152591097341863
baseline,0.001307,407,157,0,157,110.62407862407862,98.0,0.7771674593950371,0.046778962312532923,0.06503240018180495,0.007016681110098282,33725704.0,16.631398652506967,39.72255175168709,-0.41931477728067595,3264.1672,120.00155921375936,0.8000271075184281,1.1552852665110564e-06,0.27635586499999937,-41.5088940409607,0.11736363291994734,-18330.250554407554,6270.353641525721,0.0033991671470875464
